category,subcategory,name,brand,sku,unit,vat_rate,internal_unit_price,internal_cost,type,active,tags
Appareillage,Prises,Prise 2P+T 16A encastrable,Legrand,APP-LGR-001,piece,20,0,0,fourniture,true,prise;legrand
Appareillage,Prises,Prise 2P+T 16A saillie,Legrand,APP-LGR-002,piece,20,0,0,fourniture,true,prise;legrand
Appareillage,Prises,Prise 2P+T 16A etanche IP55,Legrand,APP-LGR-003,piece,20,0,0,fourniture,true,prise;etanche;legrand
Appareillage,Prises,Prise double 2P+T,Legrand,APP-LGR-004,piece,20,0,0,fourniture,true,prise;legrand
Appareillage,Prises,Prise triple 2P+T,Legrand,APP-LGR-005,piece,20,0,0,fourniture,true,prise;legrand
Appareillage,Prises,Prise 2P+T USB,Legrand,APP-LGR-006,piece,20,0,0,fourniture,true,prise;usb;legrand
Appareillage,Prises,Prise RJ45 Cat6,Legrand,APP-LGR-007,piece,20,0,0,fourniture,true,prise;rj45;legrand
Appareillage,Prises,Prise TV coaxiale,Legrand,APP-LGR-008,piece,20,0,0,fourniture,true,prise;tv;legrand
Appareillage,Prises,Prise HDMI,Legrand,APP-LGR-009,piece,20,0,0,fourniture,true,prise;legrand
Appareillage,Prises,Prise telephone RJ11,Legrand,APP-LGR-010,piece,20,0,0,fourniture,true,prise;legrand
Appareillage,Interrupteurs,Interrupteur simple,Legrand,APP-LGR-011,piece,20,0,0,fourniture,true,interrupteur;legrand
Appareillage,Interrupteurs,Interrupteur va-et-vient,Legrand,APP-LGR-012,piece,20,0,0,fourniture,true,interrupteur;va-et-vient;legrand
Appareillage,Interrupteurs,Interrupteur double va-et-vient,Legrand,APP-LGR-013,piece,20,0,0,fourniture,true,interrupteur;va-et-vient;legrand
Appareillage,Interrupteurs,Interrupteur poussoir,Legrand,APP-LGR-014,piece,20,0,0,fourniture,true,interrupteur;poussoir;legrand
Appareillage,Interrupteurs,Interrupteur poussoir lumineux,Legrand,APP-LGR-015,piece,20,0,0,fourniture,true,interrupteur;poussoir;legrand
Appareillage,Interrupteurs,Interrupteur bipolaire,Legrand,APP-LGR-016,piece,20,0,0,fourniture,true,interrupteur;legrand
Appareillage,Interrupteurs,Interrupteur temporise,Legrand,APP-LGR-017,piece,20,0,0,fourniture,true,interrupteur;legrand
Appareillage,Interrupteurs,Variateur LED,Legrand,APP-LGR-018,piece,20,0,0,fourniture,true,interrupteur;variateur;led;legrand
Appareillage,Interrupteurs,Variateur universel,Legrand,APP-LGR-019,piece,20,0,0,fourniture,true,interrupteur;variateur;legrand
Appareillage,Interrupteurs,Commande volet roulant,Legrand,APP-LGR-020,piece,20,0,0,fourniture,true,interrupteur;volet-roulant;legrand
Appareillage,Plaques,Plaque 1 poste,Legrand,APP-LGR-021,piece,20,0,0,fourniture,true,plaque;legrand
Appareillage,Plaques,Plaque 2 postes,Legrand,APP-LGR-022,piece,20,0,0,fourniture,true,plaque;legrand
Appareillage,Plaques,Plaque 3 postes,Legrand,APP-LGR-023,piece,20,0,0,fourniture,true,plaque;legrand
Appareillage,Plaques,Plaque 4 postes,Legrand,APP-LGR-024,piece,20,0,0,fourniture,true,plaque;legrand
Appareillage,Plaques,Plaque etanche IP55,Legrand,APP-LGR-025,piece,20,0,0,fourniture,true,plaque;etanche;legrand
Appareillage,Sorties de cable,Sortie de cable 16A,Legrand,APP-LGR-026,piece,20,0,0,fourniture,true,sortie;cable;legrand
Appareillage,Sorties de cable,Sortie de cable 20A,Legrand,APP-LGR-027,piece,20,0,0,fourniture,true,sortie;cable;legrand
Appareillage,Sorties de cable,Sortie de cable 32A,Legrand,APP-LGR-028,piece,20,0,0,fourniture,true,sortie;cable;legrand
Appareillage,Boitiers,Boitier encastrable 40mm,Legrand,APP-LGR-029,piece,20,0,0,fourniture,true,boitier;legrand
Appareillage,Boitiers,Boitier encastrable 50mm,Legrand,APP-LGR-030,piece,20,0,0,fourniture,true,boitier;legrand
Appareillage,Boitiers,Boitier encastrable 67mm,Legrand,APP-LGR-031,piece,20,0,0,fourniture,true,boitier;legrand
Appareillage,Boitiers,Boite de derivation encastrable,Legrand,APP-LGR-032,piece,20,0,0,fourniture,true,boitier;legrand
Appareillage,Boitiers,Boite de derivation etanche IP65,Legrand,APP-LGR-033,piece,20,0,0,fourniture,true,boitier;etanche;legrand
Appareillage,Boitiers,Boitier DCL plafond,Legrand,APP-LGR-034,piece,20,0,0,fourniture,true,boitier;dcl;legrand
Appareillage,Commandes,Commande variateur rotatif,Legrand,APP-LGR-035,piece,20,0,0,fourniture,true,commande;variateur;legrand
Appareillage,Commandes,Commande variateur poussoir,Legrand,APP-LGR-036,piece,20,0,0,fourniture,true,commande;poussoir;variateur;legrand
Appareillage,Commandes,Commande scenario domotique,Legrand,APP-LGR-037,piece,20,0,0,fourniture,true,commande;legrand
Appareillage,Commandes,Commande entree/sortie,Legrand,APP-LGR-038,piece,20,0,0,fourniture,true,commande;legrand
Appareillage,Commandes,Commande volet roulant connectee,Legrand,APP-LGR-039,piece,20,0,0,fourniture,true,commande;volet-roulant;legrand
Appareillage,Prises,Prise 2P+T 16A encastrable,Schneider Electric,APP-SCH-001,piece,20,0,0,fourniture,true,prise;schneider
Appareillage,Prises,Prise 2P+T 16A saillie,Schneider Electric,APP-SCH-002,piece,20,0,0,fourniture,true,prise;schneider
Appareillage,Prises,Prise 2P+T 16A etanche IP55,Schneider Electric,APP-SCH-003,piece,20,0,0,fourniture,true,prise;etanche;schneider
Appareillage,Prises,Prise double 2P+T,Schneider Electric,APP-SCH-004,piece,20,0,0,fourniture,true,prise;schneider
Appareillage,Prises,Prise triple 2P+T,Schneider Electric,APP-SCH-005,piece,20,0,0,fourniture,true,prise;schneider
Appareillage,Prises,Prise 2P+T USB,Schneider Electric,APP-SCH-006,piece,20,0,0,fourniture,true,prise;usb;schneider
Appareillage,Prises,Prise RJ45 Cat6,Schneider Electric,APP-SCH-007,piece,20,0,0,fourniture,true,prise;rj45;schneider
Appareillage,Prises,Prise TV coaxiale,Schneider Electric,APP-SCH-008,piece,20,0,0,fourniture,true,prise;tv;schneider
Appareillage,Prises,Prise HDMI,Schneider Electric,APP-SCH-009,piece,20,0,0,fourniture,true,prise;schneider
Appareillage,Prises,Prise telephone RJ11,Schneider Electric,APP-SCH-010,piece,20,0,0,fourniture,true,prise;schneider
Appareillage,Interrupteurs,Interrupteur simple,Schneider Electric,APP-SCH-011,piece,20,0,0,fourniture,true,interrupteur;schneider
Appareillage,Interrupteurs,Interrupteur va-et-vient,Schneider Electric,APP-SCH-012,piece,20,0,0,fourniture,true,interrupteur;va-et-vient;schneider
Appareillage,Interrupteurs,Interrupteur double va-et-vient,Schneider Electric,APP-SCH-013,piece,20,0,0,fourniture,true,interrupteur;va-et-vient;schneider
Appareillage,Interrupteurs,Interrupteur poussoir,Schneider Electric,APP-SCH-014,piece,20,0,0,fourniture,true,interrupteur;poussoir;schneider
Appareillage,Interrupteurs,Interrupteur poussoir lumineux,Schneider Electric,APP-SCH-015,piece,20,0,0,fourniture,true,interrupteur;poussoir;schneider
Appareillage,Interrupteurs,Interrupteur bipolaire,Schneider Electric,APP-SCH-016,piece,20,0,0,fourniture,true,interrupteur;schneider
Appareillage,Interrupteurs,Interrupteur temporise,Schneider Electric,APP-SCH-017,piece,20,0,0,fourniture,true,interrupteur;schneider
Appareillage,Interrupteurs,Variateur LED,Schneider Electric,APP-SCH-018,piece,20,0,0,fourniture,true,interrupteur;variateur;led;schneider
Appareillage,Interrupteurs,Variateur universel,Schneider Electric,APP-SCH-019,piece,20,0,0,fourniture,true,interrupteur;variateur;schneider
Appareillage,Interrupteurs,Commande volet roulant,Schneider Electric,APP-SCH-020,piece,20,0,0,fourniture,true,interrupteur;volet-roulant;schneider
Appareillage,Plaques,Plaque 1 poste,Schneider Electric,APP-SCH-021,piece,20,0,0,fourniture,true,plaque;schneider
Appareillage,Plaques,Plaque 2 postes,Schneider Electric,APP-SCH-022,piece,20,0,0,fourniture,true,plaque;schneider
Appareillage,Plaques,Plaque 3 postes,Schneider Electric,APP-SCH-023,piece,20,0,0,fourniture,true,plaque;schneider
Appareillage,Plaques,Plaque 4 postes,Schneider Electric,APP-SCH-024,piece,20,0,0,fourniture,true,plaque;schneider
Appareillage,Plaques,Plaque etanche IP55,Schneider Electric,APP-SCH-025,piece,20,0,0,fourniture,true,plaque;etanche;schneider
Appareillage,Sorties de cable,Sortie de cable 16A,Schneider Electric,APP-SCH-026,piece,20,0,0,fourniture,true,sortie;cable;schneider
Appareillage,Sorties de cable,Sortie de cable 20A,Schneider Electric,APP-SCH-027,piece,20,0,0,fourniture,true,sortie;cable;schneider
Appareillage,Sorties de cable,Sortie de cable 32A,Schneider Electric,APP-SCH-028,piece,20,0,0,fourniture,true,sortie;cable;schneider
Appareillage,Boitiers,Boitier encastrable 40mm,Schneider Electric,APP-SCH-029,piece,20,0,0,fourniture,true,boitier;schneider
Appareillage,Boitiers,Boitier encastrable 50mm,Schneider Electric,APP-SCH-030,piece,20,0,0,fourniture,true,boitier;schneider
Appareillage,Boitiers,Boitier encastrable 67mm,Schneider Electric,APP-SCH-031,piece,20,0,0,fourniture,true,boitier;schneider
Appareillage,Boitiers,Boite de derivation encastrable,Schneider Electric,APP-SCH-032,piece,20,0,0,fourniture,true,boitier;schneider
Appareillage,Boitiers,Boite de derivation etanche IP65,Schneider Electric,APP-SCH-033,piece,20,0,0,fourniture,true,boitier;etanche;schneider
Appareillage,Boitiers,Boitier DCL plafond,Schneider Electric,APP-SCH-034,piece,20,0,0,fourniture,true,boitier;dcl;schneider
Appareillage,Commandes,Commande variateur rotatif,Schneider Electric,APP-SCH-035,piece,20,0,0,fourniture,true,commande;variateur;schneider
Appareillage,Commandes,Commande variateur poussoir,Schneider Electric,APP-SCH-036,piece,20,0,0,fourniture,true,commande;poussoir;variateur;schneider
Appareillage,Commandes,Commande scenario domotique,Schneider Electric,APP-SCH-037,piece,20,0,0,fourniture,true,commande;schneider
Appareillage,Commandes,Commande entree/sortie,Schneider Electric,APP-SCH-038,piece,20,0,0,fourniture,true,commande;schneider
Appareillage,Commandes,Commande volet roulant connectee,Schneider Electric,APP-SCH-039,piece,20,0,0,fourniture,true,commande;volet-roulant;schneider
Appareillage,Prises,Prise 2P+T 16A encastrable,Hager,APP-HAG-001,piece,20,0,0,fourniture,true,prise;hager
Appareillage,Prises,Prise 2P+T 16A saillie,Hager,APP-HAG-002,piece,20,0,0,fourniture,true,prise;hager
Appareillage,Prises,Prise 2P+T 16A etanche IP55,Hager,APP-HAG-003,piece,20,0,0,fourniture,true,prise;etanche;hager
Appareillage,Prises,Prise double 2P+T,Hager,APP-HAG-004,piece,20,0,0,fourniture,true,prise;hager
Appareillage,Prises,Prise triple 2P+T,Hager,APP-HAG-005,piece,20,0,0,fourniture,true,prise;hager
Appareillage,Prises,Prise 2P+T USB,Hager,APP-HAG-006,piece,20,0,0,fourniture,true,prise;usb;hager
Appareillage,Prises,Prise RJ45 Cat6,Hager,APP-HAG-007,piece,20,0,0,fourniture,true,prise;rj45;hager
Appareillage,Prises,Prise TV coaxiale,Hager,APP-HAG-008,piece,20,0,0,fourniture,true,prise;tv;hager
Appareillage,Prises,Prise HDMI,Hager,APP-HAG-009,piece,20,0,0,fourniture,true,prise;hager
